City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,lupane,-18.9315,27.807,23.04,67,23,1.36,ZW,1704566395
84,cole harbour,44.6724,-63.4751,-4.6,62,13,4.02,CA,1704566300
85,la'ie,21.6477,-157.9253,24.47,79,2,4.47,US,1704565812
86,bikenibeu village,1.3673,173.1241,27.98,83,40,2.06,KI,1704566397
87,egilsstadir,65.2653,-14.3948,-4.05,74,0,2.06,IS,1704565921
88,port mathurin,-19.6833,63.4167,28.17,77,62,2.67,MU,1704566197
89,saipan,15.1355,145.701,27.39,83,75,5.66,MP,1704566399
90,harper,4.375,-7.7169,27.46,84,0,5.03,LR,1704566399
91,ikedacho,34.0167,133.8,6.61,71,21,2.54,JP,1704566400
92,renqiu,38.6989,116.0936,-8.92,89,5,0.9,CN,1704566401
93,al ghayzah,16.2079,52.176,22.88,62,87,1.36,YE,1704566402
94,nar'yan-mar,67.6713,53.087,-16.05,95,30,3.13,RU,1704566403
95,avarua,-21.2078,-159.775,27.03,83,75,5.66,CK,1704566197
96,yetkul',54.8221,61.588,-23.19,99,94,2.95,RU,1704566404
97,oxelosund,58.6706,17.1015,-13.79,87,75,3.6,SE,1704566405
98,lorengau,-2.0226,147.2712,27.72,80,83,2.42,PG,1704566405
99,blackmans bay,-43.0167,147.3167,14.18,93,99,3.36,AU,1704566198
100,bocanda,7.0626,-4.4995,33.05,34,100,1.84,CI,1704566407
101,la passe,45.5549,-0.8967,7.13,84,6,5.76,FR,1704566229
102,broken hill,-31.95,141.4333,23.63,80,100,7.33,AU,1704565911
103,guaratinga,-16.5667,-39.5667,26.69,85,100,2.03,BR,1704566408
104,puerto ayora,-0.7393,-90.3518,28.98,91,89,3.58,EC,1704566410
105,wailua homesteads,22.0669,-159.378,20.42,90,0,2.57,US,1704566410
106,santa ana,33.7456,-117.8678,19.02,52,20,1.54,US,1704566187
107,kolonia town,6.964,158.206,27.41,72,100,8.99,FM,1704566412
108,chibougamau,49.9168,-74.3659,-18.21,78,40,0.0,CA,1704566412
109,westport,41.1415,-73.3579,3.09,67,40,6.69,US,1704566253
110,tiksi,71.6872,128.8694,-33.72,98,41,3.64,RU,1704566413
111,ghadamis,30.1337,9.5007,11.75,38,0,4.8,LY,1704566414
112,marathon,44.9,-89.7668,0.58,87,100,1.54,US,1704566415
113,ust-nera,64.5667,143.2,-39.9,98,100,1.74,RU,1704566187
114,saint-francois,46.4154,3.9054,3.71,87,100,3.6,FR,1704566416
115,kipushi,-11.7667,27.2333,17.89,97,100,1.41,CD,1704566417
116,atafu village,-8.5421,-172.5159,28.76,71,100,3.51,TK,1704566417
117,luderitz,-26.6481,15.1594,19.62,71,0,7.84,NA,1704566418
118,pokhara,28.2333,83.9833,11.48,37,0,2.55,NP,1704566379
119,kidal,18.4411,1.4078,25.03,11,100,3.46,ML,1704566419
120,kantharalak,14.6406,104.6499,22.2,84,85,1.68,TH,1704566419
121,la ronge,55.1001,-105.2842,-16.86,85,100,3.09,CA,1704566420
122,prainha,-1.8,-53.48,23.0,99,100,0.22,BR,1704566420
123,ta`u,-14.2336,-169.5144,27.81,80,88,5.58,AS,1704565946
124,abepura,-2.6333,140.5833,24.45,100,20,1.03,ID,1704566421
125,ndele,8.4109,20.6473,24.42,17,1,2.21,CF,1704566422
126,hwange,-18.3693,26.5019,23.29,75,24,1.28,ZW,1704566424
127,port elizabeth,-33.918,25.5701,22.28,88,0,5.66,ZA,1704566426
128,portland,45.5234,-122.6762,6.32,93,100,1.79,US,1704565577
129,kununurra,-15.7667,128.7333,25.99,89,75,0.0,AU,1704566158
130,kattivakkam,13.2167,80.3167,26.05,77,100,5.37,IN,1704566427
131,capo d'orlando,38.1435,14.7305,13.01,72,100,5.81,IT,1704566428
132,bondoukou,8.0333,-2.8,31.24,30,57,1.68,CI,1704566429
133,uturoa,-16.7333,-151.4333,26.61,82,100,7.62,PF,1704566430
134,iqaluit,63.7506,-68.5145,-22.15,71,75,1.03,CA,1704566430
135,petropavlovsk-kamchatsky,53.0452,158.6483,-17.53,78,0,5.0,RU,1704566202
136,st. john's,47.5649,-52.7093,-7.24,80,75,14.92,CA,1704566142
137,rocha,-34.4833,-54.3333,31.89,36,83,4.64,UY,1704566436
138,balkashino,52.5167,68.7667,-4.62,98,98,0.88,KZ,1704566438
139,bamboo flat,11.7,92.7167,26.52,75,36,4.3,IN,1704566438
140,guangming,45.3333,122.7833,-19.63,75,8,3.71,CN,1704566439
141,kittila,67.6647,24.8936,-24.92,77,75,0.51,FI,1704566440
142,zhengzhou,34.7578,113.6486,-0.73,43,0,1.74,CN,1704566363
143,riohacha,11.5444,-72.9072,33.06,52,40,7.2,CO,1704565858
144,itaituba,-4.2761,-55.9836,26.09,89,75,4.63,BR,1704566217
145,iskateley,67.6803,53.1512,-16.1,95,29,3.13,RU,1704566442
146,bilibino,68.0546,166.4372,-31.95,98,100,1.25,RU,1704566195
147,bengkulu,-3.8004,102.2655,24.37,93,100,1.21,ID,1704566444
148,longyearbyen,78.2186,15.6401,-16.09,72,75,3.6,SJ,1704566249
149,kuta,-8.7233,115.1723,27.97,88,40,2.68,ID,1704565936
150,coquimbo,-29.9533,-71.3436,20.85,68,20,5.66,CL,1704565868
151,happy valley-goose bay,53.3168,-60.3315,-16.83,51,20,6.17,CA,1704566196
